,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1,Yukon,GMC,Automatic,Saudi,Full,2014,8.0,80000,120000
3,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
5,CX3,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,58000
6,Cayenne S,Others,Automatic,Saudi,Full,2012,4.8,189000,85000
7,Sonata,Hyundai,Automatic,Saudi,Full,2016,2.4,155,48000
8,Avalon,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,81500
10,C300,Chrysler,Automatic,Saudi,Full,2013,5.7,200,55000
11,Land Cruiser,Toyota,Automatic,Saudi,Full,2011,4.6,79000,145000
12,LS,Lexus,Automatic,Saudi,Full,2008,4.6,299000,38000
13,FJ,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,140000
17,Land Cruiser,Toyota,Automatic,Saudi,Full,2019,4.6,71000,200000
18,Tucson,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,65000
20,Sunny,Nissan,Manual,Saudi,Standard,2011,1.4,290,7000
21,Pajero,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,76000
23,Azera,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,32000
24,Focus,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
25,5,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
26,Spark,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,20000
28,Pathfinder,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,10000
29,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,23000
30,ML,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,45000
31,Corolla,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,30000
32,Tahoe,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,149000
35,A,Mercedes,Automatic,Other,Standard,2021,2.0,10000,179000
36,Altima,Nissan,Automatic,Saudi,Full,2011,2.5,18500,22000
37,Tahoe,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,55000
39,Expedition,Ford,Automatic,Saudi,Standard,2013,5.4,270000,49500
41,Senta fe,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,52000
43,Liberty,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
45,X,BMW,Automatic,Saudi,Full,2015,2.0,92000,72000
47,Land Cruiser Pickup,Toyota,Manual,Saudi,Standard,2018,4.0,98000,105000
49,VTC,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,99000
50,Malibu,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,57000
51,The 5,BMW,Automatic,Saudi,Standard,2019,2.5,38000,140000
55,Patrol,Nissan,Automatic,Saudi,Full,2010,4.0,208000,72000
56,Sonata,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,110000
57,Grand Cherokee,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,55000
59,Camry,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,15000
61,Previa,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
64,FJ,Toyota,Automatic,Saudi,Full,2015,4.0,228000,90000
67,MKZ,Others,Automatic,Saudi,Semi Full,2013,3.7,98100,71500
69,Datsun,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
70,Hilux,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,62000
71,Yukon,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,141000
76,Edge,Ford,Automatic,Saudi,Full,2011,3.5,70000,60000
77,6,Mazda,Automatic,Saudi,Standard,2021,2.5,115,93000
79,Innova,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,68000
80,Navara,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,50000
83,Senta fe,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,69000
84,G80,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,121500
85,Carnival,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,38000
87,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,51000
89,Camaro,Chevrolet,Automatic,Other,Full,2018,3.6,89000,109000
90,Accord,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,48000
92,Malibu,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,47000
93,C300,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,88000
94,Sunny,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,15000
95,Sunny,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,20000
96,Azera,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,47000
98,Tahoe,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,142000
100,Datsun,Nissan,Manual,Saudi,Standard,2016,2.4,866,53000
101,Innova,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,39000
103,Taurus,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
105,Avalon,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
106,Camry,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,60000
108,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,60000
111,Elantra,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,35000
112,Flex,Ford,Automatic,Saudi,Standard,2015,3.6,290000,30000
114,S,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,45000
116,Cerato,Kia,Automatic,Saudi,Standard,2019,1.6,43632,45500
117,Furniture,Toyota,Manual,Saudi,Standard,2009,2.7,530500,33000
118,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,125000
119,Murano,Nissan,Automatic,Saudi,Standard,2008,1.0,300,9500
120,S,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,63000
121,Senta fe,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,63000
122,Land Cruiser 70,Toyota,Manual,Saudi,Full,2015,2.6,180000,80000
124,Expedition,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,60000
126,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,44000
128,3,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,54000
129,Altima,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,37000
130,Pick up,Others,Manual,Saudi,Semi Full,2020,2.4,13800,35000
131,Charger,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,79000
132,H6,Others,Automatic,Saudi,Full,2020,1.5,9000,70000
135,Hilux,Toyota,Manual,Saudi,Full,2017,2.7,168000,81000
136,Corolla,Toyota,Automatic,Saudi,Full,2016,1.6,86500,48000
139,Hiace,Toyota,Manual,Saudi,Standard,2017,2.7,192692,68500
142,Taurus,Ford,Automatic,Saudi,Standard,2019,2.0,48000,80000
